Cluster Index,Words
Cluster 0,"roman, men, lady, women, boyfriend, baby, kids, death, aged, old, widow, teen, family, mom, daughter, dad, friends, woman, girl, girlfriend, mum, man, mother, children, bride, boys, male, marri, her, adult, husband, teens, female, wife, who, friend, his, girls, son, aunt, sister, brothers, mothers, sisters, boy, birth, lover, parent, mistress, him, younger, father, nurse, he, childrens, older, parents, child, marry, marring, marriage, gay, granddaughter, elderly, she, sex, rape, affair, doctor, maid, grandfather, niece, uncle, brother, goddaughter, godmother, ex, victim, young, fathers, housewife, childhood, hes, pregnant, ill"
Cluster 1,"ayurveda, benzodiazepines, barbiturates, anxiolytics, hypnotics, buspirone, serotonergic, anticonvulsants, tranquilizers, nootropics, analgesics, opioids, amphetamines, peridot, antiseptic, propofol, ketamine, lidocaine, sevoflurane, fentanyl, midazolam, rocuronium, dexmedetomidine, bupivacaine, thiopental, isoflurane, morphine, vecuronium, halothane, pancuronium, neostigmine, alkyd, fluoxetine, sertraline, citalopram, venlafaxine, bupropion, mirtazapine, trazodone, duloxetine, escitalopram, paroxetine, amitriptyline, nortriptyline, reuptake, ephedrine, amphetamine, dopamine, norepinephrine, phenylephrine, albuterol, clenbuterol, isoproterenol, dobutamine, terbutaline, pseudoephedrine, salmeterol, formoterol, syringe, anticoagulant, epinephrine, laryngoscope, bronchodilators, decongestants, leukotriene, inhalers, nebulizers, anticholinergics, endotracheal, bronchoscope, nebulizer, alveoli, antacids, antiemetics, mesalamine, loperamide, metoclopramide, ondansetron, sulfasalazine, cholestyramine, infliximab, chlorpromazine, haloperidol, risperidone, quetiapine, olanzapine, clozapine, ziprasidone, aripiprazole, cariprazine, serotonin, curette, penicillin, cephalosporin, macrolide, tetracycline, fluoroquinolone, aminoglycoside, carbapenem, polymyxin, daptomycin, fosfomycin, relaxants, narcotics, ophthalmoscope, ashwagandha, burdock, excise, fluoroscopy, gadolinium, keratin, venom, lanolin, chitin, nitinol, acetylsalicylic, ergotamine, isoprene, nitroglycerin, oxime, quinine, resorcinol, theobromine, stolon, rosin, metronidazole, tinidazole, butane, octane, isobutane, isopropanol, curcumin, catechu, dialysate, loratadine, diphenhydramine, chlorpheniramine, pruritus, sneezing, anaphylaxis, decongestant, capsule, orthopedics, propranolol, atenolol, metoprolol, phentolamine, prazosin, timolol, terazosin, doxazosin, bisoprolol, urethral, biocide, hydralazine, isosorbide, amlodipine, nifedipine, verapamil, sildenafil, tadalafil, alprostadil, minoxidil, losartan, nitroprusside, oxycodone, hydrocodone, codeine, methadone, meperidine, tramadol, buprenorphine, tapentadol, dihydrocodeine, radon, hysteresis, septic, rodenticide, larvicide, pheromone, oligopoly, digoxin, amiodarone, furosemide, oseltamivir, ribavirin, remdesivir, acyclovir, valacyclovir, amantadine, raltegravir, tenofovir, nevirapine, dolutegravir, saquinavir, lopinavir, nicotine, inhaler, atropine, clonidine, scopolamine, ipratropium, pyridostigmine, tolterodine, topoisomerase, monoclonal, oncolytic, photosensitizers, euthanasia, antiseptics, swabs, chlorhexidine, thymol, triclosan, prednisone, dexamethasone, hydrocortisone, methylprednisolone, fluticasone, budesonide, triamcinolone, betamethasone, cortisone, beclomethasone, fludrocortisone, mometasone, cryostat, statins, niacin, triglycerides, apolipoprotein, dyslipidemia, emollient, germicidal, virucidal, biofeedback, lisinopril, hydrochlorothiazide, valsartan, spironolactone, chlorthalidone, coagulants, fluconazole, itraconazole, ketoconazole, amphotericin, terbinafine, nystatin, voriconazole, posaconazole, clotrimazole, miconazole, antifungals, antivirals, cyclosporine, calcineurin, stope, bipolar, cortisol, thyroxine, adrenaline, leptin, melatonin, glucagon, aldosterone, ghrelin, calcitonin, erythropoietin, vasopressin, somatostatin, prolactin, antidiuretic, glucocorticoid, xylitol, erythritol, toluene, naphtha, tetrahydrofuran, dimethylformamide, cyclohexane, syringes, hypergolic, ibuprofen, aspirin, naproxen, celecoxib, diclofenac, indomethacin, ketorolac, meloxicam, analgesic, anatase, diuretics, thiazide, tacrolimus, adalimumab, rituximab, mycophenolate, azathioprine, alemtuzumab, abatacept, sirolimus, omalizumab, albendazole, ivermectin, praziquantel, moxidectin, mebendazole, piperazine, paraffinic, progestin, ethinylestradiol, menstrual, octreotide, omega-3, salve, cambogia, cannabis, phyto, hyaluronic, elixir, citra, detox, codon, colostrum, retinol, salicylic, pneumo, condom, postpartum, insomnia, capsules, ayurvedic, carnitine, prebiotics, omega, retin, dandruff, cellulite, caffeine, dna, softgels, cardiff, addict, hyper, antifungal, liposome, hashish, hemoglobin, inoculant, headache, pill, rhea, bedtime, valentin, newborns, ketogenic, appetite, suppressant, hemorrhoids, mascula, burnout, libido, liposomal, eg, dl, sterile, hemorrhoid, tetris, micellar, levo, nicotinate, niblets, selene, cortina, riptide, benign, obra, PSA, chlorella, condoms, vitiligo, eczema, alfa, pneumoniae, bronchial, orgasm, utero, vial, generico, vaso, lipo, herpes, smoker, aneurysm, orgasmic, antigua, mcg, atrazine, inject, ache, cort, niacinamide, otc, cigarette, softgel, citrulline, tampons, fistula, cialis, sulforaphane, arthritic, pills, hepa, piperine, vet, cryolipolysis, bindu, 0103, pfizer, genitalium, pote, benz, cannabidiol, spasms, serums, vitam, glutathione, fructose, wt, subtilis, thixotropic, psilocybin, smokin, rash, vitamix, aphrodisiac, ortho, painkiller, trig, medicos, clitoral, derma, oxo, haemorrhoid, gastro, kratom, amyl, candida, antidote, fda, veno, ruderalis, botox, somali, prone, linoleic, uric, artes, remedio, fibra, iontophoresis, vaccum, pheromones, chlamydia, moulin, bronc, breathalyzer, excimer, artemis"
Cluster 2,"ballerina, manila, ballista, calla, arroyo, adobe, alnico, quebracho, anova, barista, credenza, ante, fico, maracas, grano, luna, karte, con, puertas, brillo, dorado, gigante, azul, marino, roamer, luca, mesa, bianchi, nazionale, polizia, lima, hombre, prodotti, nuovi, madrid, italiano, alla, siciliano, tela, carta, gli, mamba, leyendas, mambo, guatemala, bianca, eau, ella, pollo, ecuador, vela, cuban, picado, bianco, doterra, torta, diamante, mar, rosso, honduras, sabrina, boca, lorenzo, riviera, madonna, tori, ltrs, valencia, lento, minutos, pura, grandi, juntas, cerrado, vas, viaje, vita, cura, tutela, sencha, monterey, pinta, tutti, frutti, luce, artikel, fiore, onda, corta, virgen, mano, negre, ombres, aria, mesas, luz, blanco, juego, vaquero, trabajo, unico, palabra, una, rosa, cornetto, tres, leche, esenciales, caccia, hierro, migliorare, capelli, corazon, cadena, canto, como, turismo, grande, bento, andro, alta, pimento, madeira, donna, maria, agua, prata, milano, acero, lente, seguridad, olla, corte, quarto, blanca, dia, vino, rio, amor, italia, bicicleta, amanda, negro, chicos, bodas, plata, piedras, bella, vista, peloton, arco, piedra, invierno, verano, silla, masse, cazzo, gentil, lana, dos, delle, cartera, caracas, brillante, oro, madera, forte, padrino, alma, doble, stella, sierra, sergio, romero, tazza, buongiorno, anna, minas, ceres, catalina, preto, nueve, shangri, mero, fondo, italiana, Kalimba, alle, murano, fuego, marca, ropa, otto, barra, inglese, cor, las, cosas, vida, napoletano, forno, verde, galena, gran, vera, Vallentuna, tampa, mujer, valentina, casa, plato, trina, fonte, ecco, naranja, corto, cortado, pendente, cama, nora, gamba, acto, helena, quatro, natura, sus, noi, pico, curso, belleza, blu, caliente, bocconcini, mista, limoncello, versos, los, poesia, eros, murah, farfalle, kvenna, venice, rosario, rupestre, manos, sem, tigre, milan, aumento, tango, nuevas, asiago, tradizione, dolce, pina, ojos, guarda, miro, fonio, camara, punto, silva, io, vinci, sicilian, fiesta, tre, romana, ventura, pintura, farina, fuente, salvador, torre, matrimonio, femenina, dulce, metta, cristiana, prodotto, aglio, elena, tra, todo, nacional, tuscany, omnia, molino, tus, Soprano, siempre, cruz, regina, sofia, tola, ambiente, por, apollo, coppa, viva, piazza, nero, acqua, massa, piscina, limpia, santos, negros, amicus, nicaragua, mariana, espíritu, venta, plataforma, comerciales, palo, santo, mia, napoletana, dari, ats, letto, hacer, pelo, lina, nuestros, Shangri, bossa, nova, soluciones, dino, sistema, bambini, aplicaciones, clara, papas, cuarto, bala, sogno, arte, sobre, seguro, moscato, brazo, parque, casas, sapodilla, llano, pequeno, hula, sante, saudade, oriente, rossa, isabella, lino, puerta, anni, copa, claro, produzione, matador, vena, cartes, senor, rico, romeo, argentina, doro, cucina, karela, napoli, castrato, viento, cristo, ejecutivo, sombra, barrio, maestro, negra, huevos, castella, uomo, ballerinas, mente, anos, grana, sini, alimentos, tabasco, spedizione, nata, milanese, peso, giallo, hielo, ciencia, suporte, perdida, rancho, monnieri, nino, primavera, hacia, cielo, tierra, diablo, Pinata, miguel, pentru, roberto, valentino, nuovo, salle, gucci, primo, punta, versace, espera, bordo, carte, veritas, edad, montego, grupo, rios, marta, visita, arroz, tinta, stracciatella, romantica, harga, dante, allegro, corso, qua, monte, fiori, capricci, mira, reto, dias, farmacia, pente, karina, horas, plataformas, spumante, sonoma, estrella, fino, tagliolini, porto, algo, lista, erotica, excelencia, celeste, toro, nina, mori, janeiro, migliori, amici, palermo, rima, moneda, diamantes, korma, cesta, nato, cuentas, krona, banc, collezione, sui, moretti, vero, momento, shiro, grandes, hallo, linha, feliz, meses, mera, sol, monica, cuadrados, carla, sombras, pasado, garda, muchas, parte, poche, claudia, profundo, pata, gallo, zorro, osso, frizzante, oficiales, ukiyo, pirata, puerto, cuero, lire, puente, pomodoro, pana, sono, barang, rama, cuerda, torino, hora, macchina, gatto, aproximadamente, unidades, fresca, uso, juegos, tiempo, vesta, cuore, ristorante, veneris, sola, verdi, banda, nido, maschera, pino, Sanza, rondo, magna, bellini, pomona, selena, nonna, voglio, mas, santas, barcelona, tuque, veste, barco, kumara, fiorentina, nel, gina, gata, marco, mila, libro, arista, origen, padre, sia, puesto, quattro, vidas, capellini, rossi, carlo, cava, rosas, modo, comuni, lado, guadalajara, noche, mario, nuevo, conjunto, Aquila, mara, navidad, arta, empresariales, lex, viene, halle, rumba, fernando, porchetta, reyes, prueba, llama, bajo, prensa, cavatelli, madre, mantenimiento, mezza, fina, reina, lena, bargello, donnas, cinta, lengua, oficinas, amarillo, armani, chianti, marcos, bacardi, rede, carlos, cualquier, Konica, novo, dione, Fra, rita, amara, paulo, bucatini, bambino, verna, bolero, piccolo, castello, tagliatelle, paloma, nosotros, cordillera, laguna, ronde, atto, nostra, esse, domus, cacio, tutto, banca, celerio, tierras, tente, uno, emilia, Capo, arquitectura, mayan, santana, serpiente, cara, libre, oficina, rias, sare, margherita, bel, camino, amba, zona, cubano, lingua, mio, estrellas, tria, mento, tecnica, montenegro, movimiento, gato, cantina, tatiana, quien, perro, nella, redes, sencillo"
Cluster 3,"acupuncture, homeopathy, aromatherapy, chiropractic, naturopathy, osteopathy, antipsychotics, sedatives, neuroleptics, antidepressants, psychotropic, stimulants, anesthesia, catheter, endoscope, implant, prosthesis, neurotransmitter, grafts, antihistamines, corticosteroids, immunomodulators, antibiotics, ventilator, anesthetic, airway, infusion, neuroleptic, tract, inducers, depressants, anesthetics, ultrasound, osmosis, enhancer, neuroimaging, stem, prophylaxis, exercise, tissue, prostheses, arthroplasty, graft, embryo, allergy, rhinitis, histamine, immunotherapy, infusions, diagnostic, therapeutic, dental, surgical, maternal, diagnosis, surgery, kurtosis, orthotic, malnutrition, metabolism, parenteral, obesity, probiotics, medicare, chemotherapy, hormonal, angiogenesis, inhibitors, antibiotic, defects, untreated, hypercholesterolemia, physique, orthotics, arthroscope, hydrotherapy, electrotherapy, neuromuscular, anticoagulants, thrombolytics, immunosuppressants, steroids, retinoids, serum, metabolomics, estrogen, testosterone, insulin, progesterone, androgen, symbiosis, prenatal, vasectomy, catheters, prosthetics, dialysis, fever, pain, arthritis, interferon, cytokines, intrauterine, breastfeeding, menopause, endometrium, echocardiogram, lymphatic, medicated, body, muscle, colon, care, patient, medic, facial, brain, tissues, liver, therapy, pathway, gland, tissu, healthy, immune, gut, cardiac, orthosis, disease, epidemic, digestive, cervical, aches, spondylosis, probiotic, cancer, adults, sleep, medi, pregnancy, acupressure, intake, chromosomal, stroke, dose, pains, treat, blood, neonatal, fetal, bleeding, medici, peri, kidney, remedy, aids, vaccines, medicina, breast, thyroid, urinal, muscles, diabetic, nasal, virus, perineal, infant, flu, respirator, diabetes, ageing, malignant, prostatic, hyperplasia, medico, hormones, fatigue, cures, diet, phototherapy, psoriasis, dermatitis, syndrome, vaginal, remedies, infectious, diseases, therapeutics, cells, perio, implants, symptoms, prostate, bariatric, digestion, mastectomy, cough, chole, cure, heals, disorders, inflammatory, heal, cardiovascular, diets, anatomic, routine, chemo, gene, immunity, dilator, mice, receptor, respiratory, lung, chronic, herniated, Vertebral, toxicity, cardioid, mammalian, adrenal, stab, osteoarthritis, antiviral, equine, urinary, lymph, treatments, lungs, secretion, stimulator, medicinal, parasite, cardio, asthma, tomy, Tissue, procedure, genesis, cholesterol, physiotherapy, steroid, oral, allergic, trigeminal, transplant, sinus, dietary, biopsy, intakes, organ, viral, anxiety, mutant, premature, marrow"
Cluster 4,"streaming, roaming, curling, fencing, rowing, paragliding, pruning, mulching, antifouling, hammering, upsetting, quenching, swaging, galvanizing, rolling, forging, stamping, rigging, logging, hydrofracking, braiding, scrapping, wainscoting, embossing, bushing, wrapping, dredging, racking, masking, bracing, weatherstripping, sapling, quarrying, hauling, stretching, shaping, brazing, desoldering, turning, boring, lathing, knurling, reaming, tapping, sawing, defrosting, earthmoving, tunneling, piling, shredding, checking, brewing, bottling, etching, gunning, caulking, chainring, spalling, blanking, flanging, trimming, punching, terracing, plowing, weaving, spinning, dyeing, dressing, stacking, strapping, mopping, sweeping, vacuuming, woodworking, overfishing, trawling, stocking, housekeeping, piercing, retouching, patching, scouring, babysitting, drawing, upcycling, tagging, milking, trucking, flashing, itching, scratching, driving, nourishing, kneading, sucking, fishing, walking, drying, rocking, flipping, rejuvenating, middle, coking, absorbing, pulling, sight, plumping, swimming, thinning, carrying, riesling, peeking, heavy, moves, overflow, brightening, foaming, swing, calling, peeling, shelling, running, flowing, washing, rough, purifying, weighing, sipping, fogging, sewing, starlight, capping, shin, tightening, grazing, striking, sleeping, inside, knitting, glowing, exfoliating, hanging, morning, unlocking, howling, steaming, shearling, travelling, edging, starling, bleaching, sleeving, bagging, shaving, drawstring, icing, lather, kindling, trunking, drinking, shedding, lacing, glittering, slow, biking, glamping, spread, viking, losing, ping, blazing, clothing, nightlight, stitching, detangling, spraying, dancing, replenishing, Coming, sling, clapping, breather, chewing, swinging, seeing, uplifting, shopping, shooting, thickening, scraping, smoking, grooming, damping, shrinking, duckling, coming, blowing, slimming, Hanging, straightening, lightning, freeing, foraging, Bagging, wicking, simmering, bottoming, watching, camping, chopping, sitting, wearing, rinsing, taming, stands, slicing, rest, Weaving, latching, sparring, browning, tealight, barking, wiping, volumizing, herring, spreads, earthing, topping, zing, praying, hiking, sloping, repacking, smiling, dropshipping, skirting, cupping, catching, Batching, frying, jumping, sketching, evening, gushing, keeping, bursting, lagging, cling, cheering, piping, switching, ramming, fizzing, flaming, bing, chatting, chasing, showstopping, gosling, shucking, lashing, slaying, boiling, burning, pampering, catfishing, blacklight, pulping, Carrying, dangling, grilling, frothing, comes, Soothing, sterilizing, riding, looking, entwining, revitalising, waiting, falling, blushing, hardworking, vulcanizing, bling, loadshedding, mattifying, bedwetting, craving, neutralizing, scooping, lounging, moving, Rigging, Walking, teething, missing, digging, shining, sweating, pouring, Drying, giving, Lashing, combing, slitting, breathing, doing, fingering, fixing, shocking, flirting, takes, crawling, Stamping, cascading, threshing, sparking, touching, dulling, Firming, giggling, refinishing, whispering, frosting"
Cluster 5,"38, 36, 39, 58, 44, 41, 33, 32, 54, 56, 48, 42, 65, 72, 52, 51, 53, 49, 55, 37, 34, 47, 59, 46, 43, 57, 64"
Cluster 6,"jurisdiction, indictment, leadership, governance, reformer, securities, alliance, sanctions, delegation, institutional, policy, legislation, coalition, federation, union, amendment, provision, democracy, legislature, judiciary, federalism, constitution, parliament, republic, electorate, tribunal, agency, council, endorsement, corruption, nationalism, electives, claims, duties, rights, policing, law, ministry, unions, party, by, states, statement, court, group, parties, under, state, civil, federal, official, ties, capital, has, public, economy, nations, rules, leaders, communion, independence, agenda, country, nation, Board, Court, detention, parti, president, members, European, commission, membership, decisions, enforcement, government, legal, accord, EU, vote, republican, member, county, nationale"
Cluster 7,"sustainable, local, biodiversity, infrastructure, sustainability, feasibility, empowerment, inclusion, support, diversity, engagement, strategy, reflective, informative, particulates, consulting, futures, interstate, fitness, social, environment, interdependence, nutrition, branding, preservatives, supports, accessibility, environmental, health, accountability, conservatory, primary, technical, experiential, holistic, collective, cooperative, traditional, underpinning, floriculture, training, performance, culture, mentalhealth, palliative, wellness, median, agriculture, viticulture, resilience, silviculture, ecosystem, undergrowth, ecosystems, permaculture, skills, practical, intelligence, accounting, forestry, arboriculture, natural, monoculture, aquaculture, mariculture, experian, preserves, media, competitions, demographics, focus, individual, microfinance, entrepreneurship, architecture, conductive, companion, networking, periodical, intercontinental, reproductive, and, variety, for, articulated, new, intensive, tactical, articulating, defining, special, reference, based, various, standards, restorative, including, key, background, essential, internally, active, framework, creative, writing, focusing, learning, part, included, mature, nautical, explore, Essential, different, professional, includes, centric, excellence, personal, native, complex, modern, major, climate, knowledge, as, serve, agricultural, environments, internal, wide, reliance, common, through, compostable, physical, xenical, developmental, trans, highly, future, additional, residential, primaries, work, florence, vital, interchange, present, provenance, most, urban, contre, educational, entertainment, integral, parenting, main, logistic, important, create, well, role, influential, formal, formulated, extensible, community, programs, other, promotional, mains, works, tradicional, current, organics, provence, supported, vision, relate, alternative, regional, servings, competitive, trends, mental, recreational, interactive, interesting, tincture, ethical, both, broad, finance, promote, concentrated, language, specialist, radical, inspiration, economical, experience, centered, created, general, inclusive, conservative, vario, sources, artistic, conserve, their, success, highlight, activities, strengthening, contra, autonomic, also, oriental, finical, contemporary, commemorative, objective, illustrated, discussion, critical, specially, contender, continental, listing, influence, architectural, transform, especial, continuum, issues, practicable, topical, findings, kulture, structured, classical, integrity, references, history, curated, these, regenerative, productive, creators, sensational, organized, specialties, between, transitional, specialized, understructure, projects, regulated, preoperative, strengthen, metrological, preserve, progressive, individually, economic, provide, interna, writable, innovative"
Cluster 8,"waterpolo, waterjet, reservoir, trail, water, terrain, gorge, plateau, scenic, tundra, canoe, marina, aquifer, tidal, aquatic, arctic, glacial, marine, habitat, bedrock, volcano, boulder, silt, erosion, gravel, watershed, dam, groundwater, tropical, drainage, slope, wetlands, cove, coral, estuary, deepwater, mud, terra, river, blackwater, delta, valley, reservoirs, desert, sea, landscape, deep, alpine, beach, ridge, sand, grassland, forest, jungle, watersports, rainforest, valleys, lake, woodland, creek, dune, gateau, mountain, oasis, diver, freshwater, bay, dunes, pond, pit, saltwater, climb, glacier, crater, surf, shore, tide, fjord, ocean, waterless, cave, lava, waterfall, fountains, basin, hills, waves, tropic, coastal, flood, woods, debris, canyon, lagoon, beaches, swim, rocks, hike, sandy, rocky, mountaineer, swamp, rainwater, mangrove, stream, volcan, rive, peaks, mountains, sandhills, shoreline, planet, wilder, Canyon, waterline, watersport, waters, seas, reef, Mountain, wasteland, outcrop, pits, muddy, wooded, lakes, deserts, wildlife, climber, hill"
Cluster 9,"arrest, raid, guard, forceps, standoff, embargo, treaty, peacekeeping, nuclear, guards, rafter, army, infantry, combat, refugees, riot, terrorism, protest, firefighter, curfew, anti, pro, defender, united, force, wing, rival, parade, al, flag, ban, return, arrival, corps, had, early, fight, duty, trial, before, retreat, ally, defense, march, trooper, first, surge, battle, captain, last, military, bloc, strikes, soldiers, after, collapse, threat, rally, fighting, camp, finally, since, muster, invader, soon, soldier, late, commando, rebel, were, strike, was, surrender, victorian, until, again, forces, war, police, weapons, wars, asylum, 4006, junta, once, colony, milion, fighter, officer, militar, barracks, against, August, elec, prisoners, commander, chiefs, commande, defend"
